h3_address,rolling_30d_mean_norm,rolling_7d_mean_norm,tile_crime_density_percentile,tile_momentum,neighbor_lag_1d_norm,lag_1d
8826641903fffff,0.0,0.0,0.044340723453908985,1.810599784124535e-15,0.0,0.0
8826641905fffff,0.0,0.0,0.0011668611435239206,4.57711796424464e-54,0.0,0.0
8826641907fffff,0.0,0.0,0.08168028004667445,5.041290532454714e-05,0.0,0.0
882664190bfffff,0.0,0.0,0.08634772462077013,8.489643387837136e-05,0.0,0.0
882664190dfffff,0.0,0.0,0.12018669778296383,0.012625406416063871,0.0,0.0
8826641913fffff,0.1408517886116265,0.0,0.2660443407234539,0.8947017223180755,0.0,0.0
8826641915fffff,0.1408517886116265,0.0,0.20186697782963828,1.659209214951878,0.0,0.0
8826641917fffff,0.0,0.0,0.15519253208868145,0.2110408582720765,0.0,0.0
882664191dfffff,0.0,0.0,0.11318553092182031,0.0017363349077086584,0.0,0.0
8826641925fffff,0.0,0.0,0.010501750291715286,3.926268889960953e-40,0.0,0.0
8826641927fffff,0.0,0.0,0.07701283547257877,4.014516235448319e-05,0.0,0.0
882664192bfffff,0.0,0.0,0.12135355892648775,0.03993074657625903,0.0,0.0
8826641931fffff,0.0,0.0,0.08401400233372229,1.4316962897307883e-05,0.0,0.0
8826641933fffff,0.0,0.0,0.12485414235705951,0.0046757877699136275,0.0,0.0
8826641939fffff,0.281703577223253,0.6036505226212564,0.34772462077012833,1.4827324407549398,0.0,0.0
882664193bfffff,0.563407154446506,1.8109515678637693,0.5682613768961493,1.382547490286851,0.0,0.0
8826641941fffff,0.4225553658348795,0.6036505226212564,0.4294049008168028,1.1713047071502078,4.225553658348795,0.0
8826641943fffff,0.4225553658348795,0.0,0.3558926487747958,0.5221799747106737,0.0,0.0
8826641945fffff,0.0,0.0,0.08751458576429405,1.8604166699031257e-05,0.0,0.0
8826641949fffff,0.9859625202813854,0.0,0.7269544924154024,0.43234994347321326,0.0,0.0
882664194bfffff,0.1408517886116265,0.6036505226212564,0.3267211201866978,0.9443396937102775,4.225553658348795,0.0
882664194dfffff,0.1408517886116265,0.0,0.17386231038506417,1.4258399646179847,4.225553658348795,0.0
8826641955fffff,0.1408517886116265,0.0,0.27887981330221706,0.3798255275879065,0.0,0.0
882664195dfffff,0.0,0.0,0.13768961493582263,0.053887826734726384,0.0,0.0
8826641969fffff,0.281703577223253,0.6036505226212564,0.5519253208868145,0.6957376721376537,0.0,0.0
882664196dfffff,0.0,0.0,0.011668611435239206,8.669902845051278e-40,0.0,0.0
88266419e9fffff,0.1408517886116265,0.0,0.21586931155192532,0.23845384682384788,0.0,0.0
88266419edfffff,0.0,0.0,0.24387397899649943,0.16054055104875123,0.0,0.0
8826641b21fffff,0.4225553658348795,0.0,0.5204200700116686,0.4998591250635696,0.0,0.0
8826641b23fffff,0.563407154446506,1.2073010452425128,0.5122520420070011,1.0938654254173554,4.225553658348795,0.0
8826641b25fffff,0.7042589430581326,0.0,0.484247374562427,0.890531900452506,0.0,0.0
8826641b27fffff,0.4225553658348795,1.2073010452425128,0.3453908984830805,2.2876207472141283,4.225553658348795,0.0
8826641b29fffff,0.0,0.0,0.07817969661610269,3.573848428351832e-05,0.0,0.0
8826641b2bfffff,0.0,0.0,0.14352392065344224,0.013013545515127768,0.0,0.0
8826641b2dfffff,0.281703577223253,0.0,0.3395565927654609,0.6016901610797787,0.0,0.0
8826641b35fffff,0.281703577223253,0.0,0.42590431738623097,0.4419110525305559,4.225553658348795,0.0
8826641b37fffff,0.1408517886116265,0.0,0.15402567094515754,0.5693089304284459,0.0,0.0
8826641b61fffff,0.0,0.0,0.09684947491248541,0.0006666358478683785,0.0,0.0
8826641b65fffff,0.0,0.0,0.15635939323220538,0.07107971472024555,0.0,0.0
8826645201fffff,0.281703577223253,0.0,0.3663943990665111,0.9530396506963318,0.0,0.0
8826645203fffff,0.563407154446506,0.0,0.41073512252042005,1.13682003671091,0.0,0.0
8826645205fffff,0.1408517886116265,0.0,0.23337222870478413,0.28966159123505164,0.0,0.0
8826645207fffff,0.563407154446506,0.0,0.5577596266044341,0.6276464195703325,0.0,0.0
8826645209fffff,0.0,0.0,0.08051341890315053,1.5890968193866692e-05,0.0,0.0
882664520bfffff,0.563407154446506,0.6036505226212564,0.41423570595099185,1.3834169766465803,0.0,0.0
882664520dfffff,0.0,0.0,0.009334889148191364,3.22085733417398e-40,0.0,0.0
8826645211fffff,0.7042589430581326,0.6036505226212564,0.43873978996499413,1.5527851843593072,0.0,0.0
8826645213fffff,0.0,0.0,0.2147024504084014,0.21787119612119318,0.0,0.0
8826645215fffff,0.7042589430581326,0.6036505226212564,0.5227537922987164,1.117326441237875,0.0,0.3333333333333333
8826645217fffff,0.0,0.0,0.2952158693115519,0.12442478232838179,0.0,0.0
882664521bfffff,0.1408517886116265,0.0,0.3710618436406068,0.15513298216853716,4.225553658348795,0.0
882664521dfffff,0.1408517886116265,0.0,0.2380396732788798,0.25238540075539323,0.0,0.0
8826645223fffff,0.4225553658348795,0.0,0.2998833138856476,0.9065327451417543,0.0,0.0
8826645229fffff,0.0,0.0,0.073512252042007,1.112151082701772e-06,0.0,0.0
882664522bfffff,0.1408517886116265,0.0,0.29171528588098017,0.36775392238868165,0.0,0.0
8826645231fffff,0.1408517886116265,0.0,0.2602100350058343,0.5780867982187073,0.0,0.0
8826645235fffff,0.1408517886116265,0.0,0.2473745624270712,0.39384712968885566,0.0,0.0
8826645239fffff,0.1408517886116265,0.0,0.2310385064177363,1.4264915167545162,0.0,0.0
882664523bfffff,0.1408517886116265,0.0,0.28004667444574094,0.9331648354827506,0.0,0.0
882664523dfffff,0.1408517886116265,0.0,0.28354725787631274,0.9323132378485903,0.0,0.0
8826645251fffff,0.1408517886116265,0.0,0.35355892648774795,0.1703010783574118,0.0,0.0
8826645253fffff,0.0,0.0,0.16102683780630106,0.039132113012367596,4.225553658348795,0.0
8826645255fffff,0.1408517886116265,0.0,0.20070011668611434,0.2863739467466424,0.0,0.0
8826645257fffff,0.563407154446506,0.0,0.4959159859976663,0.7599198150560057,0.0,0.0
8826645259fffff,0.281703577223253,0.0,0.42823803967327895,0.5151617134564962,0.0,0.0
882664525bfffff,0.0,0.0,0.3057176196032672,0.12648673801168153,0.0,0.0
882664525dfffff,0.1408517886116265,0.0,0.22170361726954493,0.8942336907298986,0.0,0.0
8826645281fffff,0.1408517886116265,0.0,0.21120186697782964,1.3919498409602005,0.0,0.0
8826645283fffff,0.4225553658348795,0.0,0.323220536756126,0.7599745039157004,0.0,0.0
8826645289fffff,0.563407154446506,0.6036505226212564,0.48191365227537925,1.0222513137524445,0.0,0.0
882664528bfffff,0.4225553658348795,0.6036505226212564,0.3547257876312719,1.4587532656758466,0.0,0.0
8826645299fffff,0.1408517886116265,0.0,0.20536756126021002,0.6040528539706527,4.225553658348795,0.0
882664529dfffff,0.1408517886116265,0.0,0.22870478413068848,0.34805638258486105,0.0,0.0
88266452c1fffff,0.1408517886116265,0.0,0.1516919486581097,0.4892362237586905,0.0,0.0
88266452c3fffff,0.281703577223253,0.0,0.3488914819136523,0.7785411857758308,0.0,0.0
88266452c7fffff,0.845110731669759,0.6036505226212564,0.486581096849475,1.4727354355504643,0.0,0.0
88266452c9fffff,0.563407154446506,1.2073010452425128,0.455075845974329,1.5175539264353424,0.0,0.0
88266452cbfffff,0.1408517886116265,0.0,0.24970828471411902,0.2700149034038456,0.0,0.0
88266452cdfffff,0.281703577223253,1.2073010452425128,0.3908984830805134,1.7981417749890793,0.0,0.3333333333333333
88266452d1fffff,0.563407154446506,0.0,0.4807467911318553,0.5728035967020232,0.0,0.0
88266452d3fffff,0.281703577223253,0.6036505226212564,0.43757292882147025,0.9846162468614438,4.225553658348795,0.0
88266452d5fffff,0.563407154446506,0.6036505226212564,0.5297549591598599,1.1275765744797421,0.0,0.0
88266452d7fffff,0.281703577223253,0.0,0.36756126021003493,0.7108991861210647,0.0,0.0
88266452d9fffff,0.4225553658348795,0.0,0.45040840140023336,0.6674928900066522,0.0,0.0
88266452dbfffff,0.9859625202813854,1.2073010452425128,0.5717619603267211,1.096850999822919,0.0,0.0
88266452ddfffff,0.1408517886116265,0.0,0.35705950991831975,0.2742780115770389,0.0,0.0
8826645601fffff,0.845110731669759,0.6036505226212564,0.7479579929988333,0.5931449644584085,4.225553658348795,0.0
8826645603fffff,0.7042589430581326,0.0,0.6954492415402567,0.3054114887434922,0.0,0.0
8826645605fffff,1.126814308893012,1.8109515678637693,0.7467911318553092,1.2247519309258925,0.0,0.3333333333333333
8826645607fffff,1.4085178861162653,2.4146020904850256,0.8401400233372228,1.0270234286161186,0.0,0.0
8826645609fffff,1.2676660975046385,1.2073010452425128,0.8028004667444574,0.7509704330243173,0.0,0.0
882664560bfffff,0.281703577223253,0.0,0.7082847141190198,0.3822628402249022,4.225553658348795,0.0
882664560dfffff,0.563407154446506,1.2073010452425128,0.5484247374562428,1.1034173156264508,4.225553658348795,0.0
8826645611fffff,0.1408517886116265,0.0,0.17269544924154026,1.4259371771337552,0.0,0.0
8826645613fffff,0.4225553658348795,0.0,0.5985997666277713,0.3390475916561367,0.0,0.0
8826645615fffff,0.281703577223253,0.0,0.3733955659276546,0.25064570264211683,0.0,0.0
8826645617fffff,0.281703577223253,0.0,0.3792298716452742,0.61643361442417,0.0,0.0
8826645619fffff,0.0,0.0,0.03267211201866978,9.045444067117843e-26,0.0,0.0
882664561bfffff,0.0,0.0,0.042007001166861145,2.5350155798970246e-16,0.0,0.0
882664561dfffff,0.845110731669759,1.2073010452425128,0.6791131855309218,0.9554142794545918,0.0,0.0
8826645621fffff,0.4225553658348795,0.0,0.5600933488914819,0.3636742467244484,0.0,0.0
8826645623fffff,0.563407154446506,0.0,0.4352392065344224,0.44762015641679004,0.0,0.0
8826645625fffff,0.0,0.0,0.18903150525087517,0.012650905389606532,0.0,0.0
8826645627fffff,0.0,0.0,0.10035005834305717,0.0017888219702753216,0.0,0.0
8826645629fffff,0.281703577223253,0.6036505226212564,0.5169194865810969,0.6650539742082904,0.0,0.0
882664562bfffff,0.1408517886116265,0.0,0.3278879813302217,0.1799743310517771,0.0,0.0
882664562dfffff,1.2676660975046385,0.0,0.6779463243873979,0.6528691566888323,0.0,0.0
8826645631fffff,0.0,0.0,0.31505250875145857,0.09164662767553751,0.0,0.0
8826645633fffff,0.0,0.0,0.11201866977829639,0.003751685260808915,0.0,0.0
8826645637fffff,0.1408517886116265,0.0,0.19603267211201866,2.0899220899557256,0.0,0.0
