h3_address,rolling_30d_mean_norm,rolling_7d_mean_norm,tile_crime_density_percentile,tile_momentum,neighbor_lag_1d_norm,lag_1d
8826641903fffff,0.0,0.0,0.030624263839811542,3.907802237686474e-18,0.0,0.0
8826641907fffff,0.0,0.0,0.056537102473498226,3.3449984791077404e-07,0.0,0.0
8826641909fffff,0.0,0.0,0.1425206124852768,0.09272102340023347,0.0,0.0
882664190bfffff,0.0,0.0,0.060070671378091876,5.639597551004405e-07,0.0,0.0
882664190dfffff,0.0,0.0,0.08244994110718493,8.412824995560101e-05,0.0,0.0
8826641913fffff,0.792011702905559,1.1314452898650842,0.4793875147232038,1.3529185420056205,0.0,0.0
8826641915fffff,0.0,0.0,0.11307420494699645,0.011061407723224973,0.0,0.0
8826641917fffff,0.26400390096851967,0.0,0.2921083627797409,0.9622366363275366,0.0,0.0
882664191dfffff,0.0,0.0,0.07773851590106007,1.1567863015090927e-05,0.0,0.0
8826641927fffff,0.0,0.0,0.0530035335689046,2.6627782816253147e-07,0.0,0.0
882664192bfffff,0.0,0.0,0.08362779740871613,0.0002660804474962386,0.0,0.0
8826641931fffff,0.0,0.0,0.05771495877502945,9.503652967085951e-08,0.0,0.0
8826641933fffff,0.0,0.0,0.08716136631330977,3.1159519851568406e-05,0.0,0.0
8826641939fffff,0.26400390096851967,0.0,0.3392226148409894,0.8842924375760143,0.0,0.0
882664193bfffff,1.584023405811118,0.0,0.5641931684334511,0.6284885291253133,0.0,0.0
8826641941fffff,0.26400390096851967,0.0,0.3404004711425206,0.4396033757815288,0.0,0.0
8826641943fffff,0.26400390096851967,1.1314452898650842,0.33568904593639576,1.236936541613231,0.0,0.0
8826641945fffff,0.0,0.0,0.061248527679623084,1.236225728471191e-07,0.0,0.0
8826641949fffff,0.5280078019370393,1.1314452898650842,0.5724381625441696,0.8296166182412964,0.0,0.6666666666666666
882664194bfffff,0.26400390096851967,0.0,0.2756183745583039,0.4856017869135665,0.0,0.0
882664194dfffff,0.0,0.0,0.14958775029446408,0.055756212433772274,7.920117029055589,0.0
8826641955fffff,0.26400390096851967,0.0,0.1978798586572438,0.32016887716161646,0.0,0.0
882664195dfffff,0.0,0.0,0.160188457008245,0.333049790171423,0.0,0.0
8826641969fffff,0.792011702905559,0.0,0.4652532391048292,0.47302720442771573,0.0,0.0
88266419e9fffff,0.0,0.0,0.11778563015312132,0.0015897382745565956,0.0,0.0
88266419edfffff,0.26400390096851967,0.0,0.4134275618374558,0.3409529232766577,0.0,0.0
8826641b21fffff,0.792011702905559,0.0,0.42049469964664316,0.8737777361961374,0.0,0.0
8826641b23fffff,0.5280078019370393,1.1314452898650842,0.3380447585394582,1.2268823841172896,0.0,0.0
8826641b25fffff,0.26400390096851967,0.0,0.28857479387514723,0.7480096232542702,15.840234058111179,0.0
8826641b27fffff,0.792011702905559,2.2628905797301684,0.37338044758539457,2.5507421243950317,7.920117029055589,0.0
8826641b29fffff,0.0,0.0,0.05418138987043581,2.3707013201305108e-07,0.0,0.0
8826641b2bfffff,0.0,0.0,0.09305064782096584,8.674359219541337e-05,0.0,0.0
8826641b2dfffff,1.0560156038740787,2.2628905797301684,0.42520612485276804,1.8659534851972281,7.920117029055589,0.0
8826641b35fffff,0.0,0.0,0.26855123674911663,0.15181870014938495,0.0,0.0
8826641b37fffff,0.0,0.0,0.15076560659599528,0.06594669912788133,0.0,0.0
